Serial_Number;Device_Name;Type;Groupe;State
G6PY63200D55;MN_474;Mini PC Intel;Groupe Misfat Filtration;Hors Service
8CC9493544;MN_600;Mini PC HP;Groupe Misfat Filtration;En Service
8CC9493546;MN_601;Mini PC HP;Groupe Misfat Filtration;En Service
G6PY6160059M;MN_9681;Mini PC Intel;Groupe Misfat Filtration;En Service
G6PY6160054Z;MN_9682;Mini PC Intel;Groupe Misfat Filtration;En Service
G6PY63200D3D;MN_9687;Mini PC Intel;Groupe Misfat Filtration;En Service
G6PY63200CFS;MN_9688;Mini PC Intel;Groupe Misfat Filtration;En Service
G6PY63200CFR;MN_9689;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6PY63200CK5;MN_9690;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6PY63200CXN;MN_9692;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6PY63200CR4;MN_9693;Mini PC Intel;Groupe Misfat Filtration;En Service
G6PY63200CKX;MN_9694;Mini PC Intel;Groupe Misfat Filtration;En Service
G6PY63200DCY;MN_9798;Mini PC Intel;Groupe Misfat Filtration;En Service
FMB1ZL3;MN_DELL;MINI pc DELL;Groupe Misfat Filtration;En Service
1N35RX3;MN_DELL;MINI pc DELL;Groupe Misfat Filtration;Utilisation Provisoire > Disponible Chez Sce info
H0QJ4V3;MN_DELL;MINI pc DELL;Groupe Misfat Filtration;Utilisation Provisoire > Disponible Chez Sce info
48GD324;MN-A21;Desktop;Groupe Misfat Filtration;En Service
8CC937153M;MN-ABenAli;Mini PC;Groupe Misfat Filtration;En Service
2D1H4G3;MN-ABENNEJMA;Desktop;Groupe Misfat Filtration;En Service
9LFBY64;MN-ADHAOUEDI;Desktop;Groupe Misfat Filtration;En Service
HC1H4G3;MN-ADRIDI1;Desktop;Groupe Misfat Filtration;En Service
8CC93714ZD;MN-AERRATOULI;Mini PC;Groupe Misfat Filtration;En Service
8CC9371518;MN-AGENTMAINT;Mini PC;Groupe Misfat Filtration;En Service
1ZBW224;MN-AGENTMAINT2;Desktop;Groupe Misfat Filtration;En Service
1QB1ZL3;MN-AHAMMAMI2;Desktop;Groupe Misfat Filtration;En Service
87DT5T3;MN-AHANNECHI1;Desktop;Groupe Misfat Filtration;En Service
C3Q2ZL3;MN-AHEDHLI1;Desktop;Groupe Misfat Filtration;En Service
8CC937151B;MN-AJENDOUBI;Mini PC;Groupe Misfat Filtration;En Service
